Overall Credit Risk Score,Months Since First Credit Account,Average Age of Credit Accounts,Number of Well-Maintained Accounts,Percentage of Accounts Never Late,Months Since Last Missed Payment,Percentage of Installment vs Revolving Loans,Time Since Last Credit Application,Credit Utilization Ratio,Number of Active Credit Cards/Lines,Loan Repaid
55.0,118.0,69.0,12.0,50.0,4.0,27.0,0.0,79.0,5.0,0
74.0,277.0,123.0,24.0,88.0,12.0,25.0,0.0,45.0,12.0,0
63.0,174.0,62.0,11.0,79.0,5.0,29.0,0.0,37.0,5.0,0
81.0,137.0,66.0,34.0,100.0,21.879546809779367,62.0,0.0,24.0,3.0,0
81.0,126.0,78.0,18.0,100.0,21.879546809779367,83.0,0.0,0.0,1.0,1
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,1
59.0,243.0,79.0,38.0,76.0,7.0,50.0,0.0,63.0,7.0,0
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,1
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,0
66.0,176.0,81.0,43.0,98.0,3.0,39.0,0.0,36.0,3.0,0
72.0,169.0,60.0,21.0,96.0,30.0,52.0,0.0,66.0,4.0,0
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,1
73.0,409.0,94.0,38.0,100.0,21.879546809779367,18.0,0.0,27.0,11.0,1
86.0,419.0,122.0,17.0,100.0,21.879546809779367,72.0,0.0,0.0,0.0,0
91.0,282.0,201.0,6.0,100.0,21.879546809779367,43.0,0.0,0.0,0.0,0
73.0,324.0,89.0,19.0,89.0,9.0,21.0,0.0,34.0,6.0,1
78.0,134.0,63.0,35.0,93.0,32.0,40.0,0.0,22.0,5.0,1
65.0,155.0,37.0,20.0,95.0,8.0,38.0,0.0,49.0,5.0,0
75.0,70.0,38.0,8.0,100.0,21.879546809779367,78.0,0.0,17.0,2.0,0
84.0,277.0,109.0,8.0,100.0,21.879546809779367,50.0,0.0,33.0,2.0,1
75.0,294.0,94.0,39.0,98.0,21.879546809779367,35.0,0.0,17.0,6.0,1
60.0,357.0,141.0,9.0,67.0,3.0,50.0,0.0,28.0,4.0,1
68.0,106.0,54.0,29.0,87.0,51.0,65.0,0.0,85.0,3.0,1
67.0,85.0,44.0,15.0,93.0,45.0,33.0,0.0,59.0,3.0,0
71.0,282.0,73.0,22.0,96.0,21.879546809779367,4.0,0.0,37.0,11.0,0
50.0,204.0,91.0,23.0,82.0,1.0,32.0,0.0,32.0,5.0,0
62.0,151.0,99.0,5.0,80.0,16.0,80.0,0.0,40.0,1.0,0
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,0
70.0,333.0,75.0,16.0,100.0,21.879546809779367,30.0,0.0,78.0,6.0,0
58.0,307.0,79.0,14.0,73.0,18.0,53.0,0.0,81.0,3.0,0
72.06044011763512,17.0,17.0,1.0,100.0,21.879546809779367,100.0,0.0,34.857718120805366,4.102110138960371,1
88.0,188.0,82.0,20.0,100.0,21.879546809779367,40.0,0.0,17.0,2.0,1
65.0,107.0,48.0,40.0,100.0,21.879546809779367,42.0,0.0,80.0,5.0,0
74.0,169.0,78.0,26.0,96.0,76.0,37.0,0.0,37.0,5.0,0
78.0,282.0,95.0,23.0,100.0,21.879546809779367,13.0,0.0,22.0,4.0,0
74.0,378.0,110.0,41.0,98.0,35.0,57.0,0.0,44.0,4.0,1
77.0,311.0,103.0,39.0,98.0,21.879546809779367,36.0,0.0,46.0,5.0,1
67.0,299.0,79.0,25.0,89.0,15.0,37.0,0.0,63.0,13.0,0
56.0,76.0,32.0,11.0,92.0,15.0,17.0,0.0,83.0,5.0,1
88.0,211.0,103.0,13.0,100.0,21.879546809779367,57.0,2.4777188328912465,0.0,2.0,1
75.0,169.0,59.0,21.0,100.0,21.879546809779367,36.0,2.4777188328912465,43.0,4.0,0
66.0,127.0,69.0,17.0,94.0,16.0,33.0,2.4777188328912465,42.0,3.0,0
81.0,220.0,91.0,20.0,100.0,21.879546809779367,39.0,2.4777188328912465,36.0,3.0,1
71.0,177.0,95.0,24.0,96.0,21.879546809779367,75.0,2.4777188328912465,87.0,4.0,0
69.0,112.0,43.0,5.0,100.0,21.879546809779367,43.0,2.4777188328912465,37.0,3.0,0
74.0,150.0,91.0,13.0,93.0,35.0,29.0,2.4777188328912465,36.0,1.0,1
56.0,224.0,109.0,27.0,79.0,4.0,21.0,2.4777188328912465,101.0,15.0,0
65.0,243.0,89.0,23.0,83.0,2.0,52.0,2.4777188328912465,49.0,4.0,0
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,1
92.0,152.0,154.0,14.0,100.0,21.879546809779367,47.0,2.4777188328912465,7.0,2.0,1
91.0,150.0,108.0,10.0,100.0,21.879546809779367,64.0,2.4777188328912465,2.0,1.0,1
73.0,183.0,90.0,19.0,100.0,21.879546809779367,32.0,2.4777188328912465,6.0,1.0,1
66.0,255.0,80.0,14.0,88.0,9.0,69.0,2.4777188328912465,58.0,3.0,0
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,1
87.0,120.0,59.0,26.0,100.0,21.879546809779367,54.0,2.4777188328912465,1.0,2.0,0
64.0,246.0,106.0,5.0,88.0,57.0,88.0,2.4777188328912465,34.857718120805366,4.102110138960371,0
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,0
63.0,123.0,40.0,5.0,86.0,29.0,43.0,2.4777188328912465,77.0,3.0,0
78.0,177.0,65.0,26.0,96.0,21.879546809779367,46.0,2.4777188328912465,4.0,4.0,1
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,0
75.0,212.0,105.0,11.0,82.0,21.0,45.0,2.4777188328912465,13.0,1.0,0
68.0,224.0,110.0,24.0,86.0,25.0,31.0,2.4777188328912465,5.0,2.0,1
61.0,208.0,96.0,24.0,74.0,44.0,63.0,2.4777188328912465,53.0,6.0,0
63.0,203.0,79.0,16.0,59.0,3.0,47.0,2.4777188328912465,55.0,7.0,0
69.0,160.0,109.0,11.0,92.0,20.0,31.0,2.4777188328912465,94.0,3.0,0
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,0
50.0,103.0,48.0,10.0,53.0,7.0,35.0,2.4777188328912465,37.0,5.0,0
74.0,159.0,69.0,26.0,100.0,21.879546809779367,48.0,2.4777188328912465,61.0,3.0,0
65.0,241.0,95.0,15.0,76.0,0.0,29.0,2.4777188328912465,51.0,3.0,0
80.0,203.0,91.0,15.0,100.0,21.879546809779367,29.0,2.4777188328912465,16.0,6.0,0
61.0,61.0,41.0,9.0,80.0,21.879546809779367,50.0,2.4777188328912465,80.0,4.0,0
57.0,178.0,79.0,23.0,92.0,2.0,58.0,2.4777188328912465,57.0,5.0,0
59.0,131.0,81.0,13.0,69.0,5.0,50.0,2.4777188328912465,75.0,3.0,0
71.0,103.0,94.0,6.0,86.0,13.0,14.0,2.4777188328912465,48.0,2.0,0
86.0,168.0,85.0,33.0,97.0,51.0,38.0,2.4777188328912465,3.0,3.0,1
83.0,106.0,62.0,28.0,100.0,21.879546809779367,11.0,2.4777188328912465,17.0,2.0,1
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,0
59.0,198.0,89.0,29.0,79.0,21.0,38.0,2.4777188328912465,38.0,11.0,0
59.0,256.0,50.0,11.0,44.0,1.0,75.0,2.4777188328912465,93.0,3.0,0
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,1
55.0,203.0,81.0,19.0,86.0,3.0,33.0,2.4777188328912465,56.0,3.0,1
75.0,258.0,97.0,23.0,96.0,21.879546809779367,13.0,2.4777188328912465,31.0,4.0,1
78.0,41.0,16.0,3.0,100.0,21.879546809779367,67.0,2.4777188328912465,0.0,0.0,0
65.0,14.0,4.0,3.0,100.0,21.879546809779367,33.0,2.4777188328912465,1.0,1.0,1
80.0,233.0,106.0,28.0,97.0,2.0,37.0,2.0,4.0,4.0,1
70.0,252.0,73.0,20.0,88.0,31.0,67.0,2.0,16.0,3.0,0
59.0,200.7691029900332,82.0,20.0,78.0,6.0,67.0,4.0,98.0,2.0,0
57.0,246.0,72.0,34.0,88.0,3.0,73.0,2.0,12.0,3.0,0
77.0,154.0,55.0,31.0,100.0,21.879546809779367,63.0,2.0,26.0,5.0,0
65.0,37.0,24.0,11.0,100.0,21.879546809779367,27.0,3.0,81.0,6.0,0
67.0,97.0,46.0,8.0,100.0,21.879546809779367,33.0,0.0,66.0,5.0,0
73.0,136.0,77.0,25.0,100.0,21.879546809779367,36.0,0.0,54.0,11.0,0
73.0,190.0,113.0,27.0,100.0,21.879546809779367,23.0,7.0,40.0,9.0,0
77.0,221.0,93.0,46.0,100.0,21.879546809779367,36.0,17.0,41.0,8.0,0
61.0,190.0,118.0,34.0,82.0,22.0,50.0,19.0,97.0,6.0,0
86.0,242.0,135.0,14.0,100.0,21.879546809779367,36.0,1.0,3.0,2.0,1
66.0,132.0,36.0,34.0,100.0,21.879546809779367,26.0,10.0,66.0,16.0,1
64.0,178.0,108.0,33.0,85.0,1.0,36.0,0.0,48.0,5.0,0
79.0,245.0,100.0,35.0,100.0,21.879546809779367,43.0,4.0,18.0,6.0,1
76.0,159.0,84.0,21.0,95.0,21.879546809779367,71.0,3.0,42.0,3.0,1
62.0,27.0,22.0,3.0,100.0,21.879546809779367,100.0,2.0,34.857718120805366,4.102110138960371,0
81.0,244.0,128.0,54.0,98.0,21.879546809779367,41.0,0.0,25.0,6.0,1
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,1
85.0,241.0,120.0,36.0,100.0,21.879546809779367,39.0,2.0,1.0,3.0,1
75.0,160.0,69.0,12.0,100.0,21.879546809779367,42.0,2.0,85.0,2.0,0
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,1
72.0,132.0,65.0,25.0,100.0,21.879546809779367,42.0,2.0,40.0,5.0,0
71.0,179.0,68.0,32.0,97.0,50.0,21.0,1.0,43.0,12.0,0
65.0,256.0,190.0,23.0,85.0,5.0,52.0,5.0,75.0,4.0,1
55.0,139.0,65.0,51.0,98.0,2.0,27.0,0.0,80.0,16.0,1
89.0,137.0,75.0,14.0,100.0,21.879546809779367,0.0,2.4777188328912465,3.0,3.0,1
50.0,222.0,99.0,24.0,81.0,1.0,38.0,3.0,42.0,6.0,0
70.0,218.0,69.0,24.0,88.0,36.0,62.0,0.0,69.0,8.0,1
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,1
55.0,156.0,65.0,59.0,98.0,2.0,36.0,1.0,44.0,7.0,0
69.0,82.0,57.0,15.0,67.0,23.0,71.0,5.0,6.0,1.0,0
62.0,247.0,93.0,29.0,90.0,37.0,24.0,16.0,67.0,11.0,1
87.0,112.0,67.0,22.0,100.0,21.879546809779367,55.0,5.0,3.0,1.0,1
65.0,129.0,64.0,30.0,78.0,2.0,34.0,0.0,17.0,2.0,1
66.0,93.0,33.0,23.0,100.0,21.879546809779367,33.0,0.0,58.0,8.0,0
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,0
85.0,154.0,159.0,4.0,100.0,21.879546809779367,50.0,2.4777188328912465,53.0,1.0,0
81.0,212.0,93.0,37.0,100.0,21.879546809779367,16.0,2.0,19.0,4.0,1
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,1
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,1
65.0,321.0,74.0,27.0,68.0,21.0,45.0,0.0,11.0,1.0,1
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,1
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,0
65.0,338.0,55.0,24.0,83.0,9.0,33.0,0.0,13.0,2.0,1
85.0,195.0,87.0,28.0,100.0,21.879546809779367,38.0,0.0,11.0,5.0,1
67.0,145.0,58.0,31.0,94.0,11.0,56.0,3.0,18.0,5.0,1
92.0,352.0,120.0,14.0,100.0,21.879546809779367,35.0,4.0,11.0,2.0,1
66.0,205.0,123.0,5.0,100.0,21.879546809779367,40.0,4.0,83.0,1.0,0
62.0,135.0,59.0,15.0,81.0,4.0,81.0,0.0,13.0,2.0,0
62.0,433.0,79.0,31.0,92.0,24.0,85.0,0.0,13.0,1.0,0
69.0,175.0,56.0,17.0,90.0,11.0,55.0,1.0,16.0,3.0,1
83.0,344.0,151.0,10.0,90.0,38.0,40.0,19.0,5.0,1.0,0
57.0,140.0,67.0,8.0,80.0,26.0,50.0,3.0,93.0,1.0,0
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,0
66.0,307.0,125.0,38.0,79.0,24.0,48.0,4.0,45.0,8.0,0
66.0,496.0,145.0,34.0,97.0,36.0,27.0,4.0,80.0,16.0,0
64.0,277.0,94.0,26.0,71.0,3.0,54.0,5.0,52.0,5.0,0
72.06044011763512,200.7691029900332,78.77813797994125,21.12146692331071,92.35994326815926,21.879546809779367,34.618680984702664,2.4777188328912465,34.857718120805366,4.102110138960371,1
81.0,334.0,104.0,18.0,100.0,21.879546809779367,68.0,9.0,29.0,3.0,1
63.0,307.0,85.0,35.0,95.0,22.0,24.0,0.0,38.0,5.0,1
66.0,133.0,77.0,23.0,100.0,21.879546809779367,42.0,0.0,103.0,6.0,0
61.0,338.0,145.0,32.0,88.0,4.0,27.0,12.0,56.0,15.0,0
85.0,182.0,74.0,10.0,100.0,21.879546809779367,50.0,18.0,12.0,4.0,1
72.0,145.0,57.0,45.0,100.0,21.879546809779367,74.0,7.0,34.0,4.0,1
85.0,267.0,72.0,8.0,100.0,21.879546809779367,25.0,17.0,17.0,2.0,1
78.0,340.0,106.0,25.0,96.0,7.0,56.0,4.0,6.0,2.0,0
86.0,439.0,112.0,18.0,100.0,21.879546809779367,57.0,1.0,26.0,3.0,1
70.0,139.0,67.0,19.0,83.0,19.0,57.0,5.0,39.0,2.0,1
62.0,295.0,124.0,55.0,95.0,8.0,39.0,5.0,32.0,6.0,0
82.0,286.0,103.0,16.0,100.0,21.879546809779367,47.0,6.0,25.0,4.0,1
75.0,311.0,117.0,40.0,100.0,21.879546809779367,42.0,0.0,34.0,4.0,1
66.0,111.0,40.0,9.0,100.0,21.879546809779367,33.0,1.0,80.0,5.0,1
93.0,399.0,174.0,5.0,100.0,21.879546809779367,0.0,2.0,0.0,0.0,0
67.0,85.0,48.0,17.0,89.0,20.0,61.0,4.0,44.0,1.0,0
64.0,103.0,52.0,22.0,88.0,26.0,38.0,1.0,29.0,4.0,0
67.0,90.0,38.0,7.0,100.0,21.879546809779367,57.0,5.0,91.0,1.0,0
81.0,99.0,54.0,35.0,100.0,21.879546809779367,25.0,0.0,8.0,2.0,1
80.0,415.0,129.0,20.0,90.0,5.0,20.0,2.4777188328912465,8.0,1.0,1
84.0,288.0,85.0,11.0,100.0,21.879546809779367,38.0,17.0,20.0,2.0,1
88.0,209.0,93.0,19.0,100.0,21.879546809779367,53.0,5.0,0.0,1.0,1
82.0,163.0,92.0,12.0,100.0,21.879546809779367,17.0,18.0,33.0,4.0,1
60.0,281.0,73.0,35.0,78.0,0.0,28.0,0.0,16.0,10.0,0
60.0,164.0,67.0,18.0,67.0,1.0,58.0,0.0,0.0,0.0,0
75.0,407.0,90.0,27.0,94.0,18.0,16.0,0.0,3.0,8.0,1
59.0,191.0,74.0,38.0,93.0,5.0,33.0,1.0,48.0,12.0,0
75.0,180.0,74.0,35.0,100.0,21.879546809779367,44.0,0.0,41.0,1.0,1
73.0,116.0,65.0,23.0,100.0,21.879546809779367,39.0,1.0,25.0,3.0,1
87.0,126.0,71.0,21.0,100.0,21.879546809779367,38.0,13.0,10.0,2.0,1
90.0,244.0,96.0,31.0,100.0,21.879546809779367,42.0,0.0,2.0,1.0,1
63.0,69.0,42.0,13.0,100.0,21.879546809779367,15.0,0.0,53.0,6.0,1
89.0,363.0,106.0,21.0,100.0,21.879546809779367,29.0,0.0,2.0,5.0,1
82.0,154.0,82.0,35.0,100.0,21.879546809779367,42.0,0.0,12.0,2.0,1
70.0,253.0,131.0,23.0,100.0,21.879546809779367,35.0,2.4777188328912465,3.0,3.0,1
76.0,170.0,68.0,32.0,97.0,10.0,34.0,1.0,13.0,2.0,1
75.0,325.0,101.0,23.0,96.0,65.0,63.0,6.0,47.0,4.0,1
76.0,220.0,87.0,31.0,94.0,43.0,55.0,5.0,31.0,4.0,1
65.0,145.0,70.0,40.0,100.0,21.879546809779367,30.0,1.0,83.0,10.0,0
65.0,293.0,142.0,20.0,38.0,2.0,50.0,3.0,9.0,4.0,0
92.0,474.0,201.0,8.0,100.0,21.879546809779367,0.0,2.0,1.0,3.0,0
66.0,234.0,69.0,54.0,98.0,60.0,25.0,0.0,19.0,6.0,0
64.0,432.0,87.0,34.0,97.0,17.0,35.0,0.0,34.0,8.0,0
63.0,130.0,67.0,25.0,86.0,2.0,34.0,0.0,57.0,4.0,0
61.0,251.0,74.0,15.0,93.0,70.0,13.0,0.0,89.0,7.0,0
76.0,280.0,77.0,25.0,100.0,21.879546809779367,40.0,0.0,17.0,2.0,1
60.0,125.0,34.0,26.0,96.0,10.0,15.0,0.0,56.0,4.0,0
89.0,408.0,108.0,28.0,100.0,21.879546809779367,20.0,0.0,10.0,4.0,1
85.0,271.0,96.0,26.0,100.0,21.879546809779367,19.0,0.0,4.0,3.0,1
58.0,274.0,144.0,9.0,64.0,41.0,36.0,0.0,68.0,2.0,0
64.0,162.0,73.0,4.0,67.0,54.0,33.0,0.0,57.0,2.0,1
81.0,306.0,74.0,16.0,100.0,21.879546809779367,11.0,0.0,25.0,7.0,1
56.0,82.0,37.0,29.0,93.0,17.0,57.0,0.0,43.0,5.0,0
55.0,99.0,56.0,35.0,92.0,4.0,65.0,0.0,100.0,1.0,0
51.0,232.0,93.0,13.0,69.0,1.0,38.0,0.0,94.0,2.0,0
68.0,130.0,51.0,30.0,97.0,71.0,53.0,0.0,59.0,5.0,0
55.0,147.0,83.0,12.0,86.0,32.0,29.0,0.0,66.0,6.0,0
87.0,336.0,120.0,35.0,100.0,21.879546809779367,14.0,0.0,3.0,6.0,1
68.0,264.0,106.0,22.0,88.0,78.0,46.0,0.0,64.0,5.0,0
70.0,233.0,69.0,31.0,97.0,6.0,33.0,0.0,35.0,6.0,0
75.0,254.0,60.0,9.0,100.0,21.879546809779367,44.0,0.0,60.0,2.0,1
70.0,321.0,67.0,13.0,82.0,71.0,53.0,0.0,50.0,3.0,0
77.0,165.0,75.0,20.0,95.0,21.879546809779367,20.0,0.0,41.0,4.0,1
73.0,232.0,72.0,19.0,95.0,8.0,42.0,0.0,35.0,6.0,0
60.0,273.0,126.0,32.0,89.0,2.0,11.0,0.0,37.0,16.0,1
77.0,324.0,85.0,26.0,100.0,21.879546809779367,38.0,0.0,16.0,4.0,0
80.0,220.0,105.0,32.0,100.0,21.879546809779367,41.0,0.0,36.0,3.0,1
82.0,161.0,60.0,41.0,100.0,21.879546809779367,23.0,0.0,2.0,3.0,0
83.0,176.0,70.0,8.0,100.0,21.879546809779367,50.0,0.0,38.0,2.0,0
65.0,321.0,114.0,27.0,82.0,17.0,32.0,0.0,66.0,6.0,0
77.0,140.0,73.0,15.0,88.0,12.0,53.0,0.0,17.0,2.0,0
66.0,409.0,138.0,18.0,85.0,15.0,25.0,0.0,55.0,7.0,0
84.0,191.0,104.0,11.0,100.0,21.879546809779367,58.0,0.0,4.0,1.0,0
59.0,152.0,50.0,23.0,79.0,29.0,41.0,0.0,70.0,8.0,0
66.0,253.0,125.0,8.0,64.0,12.0,27.0,0.0,80.0,2.0,0
63.0,234.0,159.0,8.0,43.0,23.0,14.0,0.0,33.0,1.0,0
73.0,250.0,67.0,42.0,100.0,21.879546809779367,49.0,0.0,50.0,4.0,0
77.0,173.0,71.0,39.0,100.0,21.879546809779367,31.0,0.0,19.0,8.0,1
79.0,81.0,38.0,10.0,100.0,21.879546809779367,20.0,0.0,10.0,2.0,1
64.0,164.0,71.0,25.0,92.0,7.0,38.0,0.0,58.0,3.0,0
67.0,282.0,108.0,37.0,95.0,3.0,43.0,0.0,68.0,5.0,0
80.0,290.0,82.0,14.0,87.0,17.0,60.0,0.0,16.0,3.0,0
74.0,279.0,90.0,31.0,97.0,12.0,18.0,0.0,5.0,4.0,0
70.0,196.0,64.0,34.0,100.0,21.879546809779367,37.0,0.0,83.0,6.0,1
