Credit Score,Annual Income,Years of Employment,Loan Approved
306,63949,9,0
495,57405,6,0
720,54872,12,0
492,62215,19,1
447,43185,27,1
501,194514,28,1
743,61153,4,0
718,97535,28,1
726,153653,2,0
778,71717,14,0
774,22763,3,0
425,112910,14,1
694,75480,13,0
624,189831,19,1
691,138094,18,1
739,176379,12,1
503,31064,9,0
785,96848,20,0
330,57548,4,0
687,188017,26,1
733,199009,22,1
675,26476,19,0
643,110101,28,1
742,22382,19,0
374,196348,24,1
454,184474,5,1
729,178018,3,0
662,99698,1,0
747,173407,21,1
533,65095,15,0
561,149974,17,1
424,47197,4,0
544,147619,21,1
841,42010,3,0
784,175195,29,1
421,107923,12,1
424,153962,18,1
848,150526,22,1
469,129162,1,0
423,140927,12,1
334,28026,10,0
386,84925,29,1
500,88842,21,1
668,53665,28,1
376,29277,3,0
358,193311,21,1
730,198736,19,1
799,68008,19,0
408,34683,14,0
577,151742,3,0
367,168961,8,1
368,195607,6,1
464,98542,18,1
788,74319,18,0
604,112067,5,0
664,172711,5,0
678,167705,19,1
642,185732,14,1
653,88975,14,0
715,183244,24,1
408,121158,19,1
796,31577,8,0
640,97299,3,0
682,40176,17,0
832,195458,17,1
599,83972,4,0
438,140018,19,1
658,192075,22,1
798,39996,29,1
684,120922,10,0
579,106598,4,0
782,55931,21,0
410,144168,25,1
438,186782,3,0
734,143099,28,1
808,54693,11,0
572,186812,1,0
398,128944,12,1
403,37374,9,0
513,101471,8,0
464,65913,9,0
819,143683,6,0
583,64516,3,0
816,107796,18,0
463,46069,9,0
363,138333,29,1
390,104811,2,0
416,138028,24,1
566,59178,20,1
439,52821,28,1
545,36999,18,0
694,58712,20,0
786,191244,1,0
775,53722,26,1
816,30625,19,0
483,26859,9,0
319,192681,1,0
823,194379,1,0
828,130986,27,1
446,41839,23,1
603,47216,16,0
527,72953,15,0
401,69522,15,0
716,155958,13,1
515,131249,6,0
706,27485,20,0
698,182527,10,1
798,167839,23,1
764,132701,0,0
381,179525,10,1
664,122638,22,1
462,32226,20,0
347,113405,3,0
810,42588,6,0
628,182781,25,1
415,198860,14,1
636,57019,17,0
446,196020,11,1
622,85133,16,0
742,134444,0,0
312,137603,10,1
793,178598,27,1
586,148585,0,0
413,63395,14,0
779,175103,27,1
321,145814,20,1
648,188773,9,1
619,132599,6,0
425,45939,1,0
576,171396,9,1
503,173939,23,1
493,20203,3,0
846,167616,11,0
585,166971,18,1
356,49063,25,1
602,110880,10,0
462,23748,7,0
318,137269,17,1
669,100764,10,0
563,171956,10,1
412,176255,12,1
787,128036,2,0
626,170331,11,1
841,187031,2,0
364,136525,9,1
591,184529,26,1
324,105679,16,1
848,145829,21,1
300,148216,1,0
848,153175,16,1
440,85901,15,1
487,195607,1,0
427,167175,27,1
500,118046,21,1
426,110012,29,1
556,98278,19,1
846,32391,5,0
493,122476,27,1
403,179973,24,1
834,140721,28,1
564,117537,9,0
683,101159,27,1
559,151040,9,0
713,189509,7,0
657,55503,0,0
374,95403,12,0
654,192330,23,1
487,184796,8,1
589,84286,21,1
344,94842,9,0
382,124927,14,1
422,34908,4,0
657,57228,21,0
827,43386,15,0
365,197826,12,1
674,48302,21,0
461,80815,24,1
679,83344,19,0
657,186690,17,1
487,131603,10,0
621,81114,26,1
749,45525,8,0
773,99818,15,0
312,134589,1,0
483,165406,25,1
410,114715,24,1
807,26644,1,0
589,121154,11,0
594,184005,7,0
750,63469,8,0
514,184759,11,1
326,126609,25,1
530,168447,8,0
620,85206,9,0
532,116462,24,1
736,187679,1,0
832,103178,15,0
702,175065,19,1
352,195458,6,1
612,197359,27,1
580,106724,1,0
330,116393,0,0
636,147314,18,1
482,96312,27,1
322,95324,3,0
843,91196,23,1
745,90014,21,1
373,159282,26,1
309,161994,1,0
783,187361,24,1
755,53340,13,0
459,59850,1,0
313,133711,28,1
477,31094,14,0
711,107959,11,0
352,184490,4,1
707,25741,27,1
321,131585,19,1
329,142564,28,1
559,88798,6,0
504,136026,23,1
358,130130,20,1
770,42164,9,0
765,186667,13,1
311,50257,13,0
589,165283,4,0
653,115989,17,1
374,156304,23,1
740,72691,13,0
540,99768,1,0
453,176685,25,1
395,34026,11,0
593,50908,21,0
508,39610,23,1
642,197718,5,0
387,83185,3,0
689,92567,12,0
624,198646,3,0
456,56182,21,1
436,136136,13,1
727,151642,15,1
751,39288,28,1
440,98824,3,0
382,180949,23,1
476,104425,24,1
497,20917,0,0
720,95602,12,0
700,84575,3,0
770,92518,19,0
517,59104,17,0
474,169134,5,0
322,36999,2,0
534,161013,22,1
312,81169,12,0
400,174542,26,1
835,149744,15,0
822,130684,26,1
751,79821,4,0
730,195507,3,0
832,155601,20,1
592,32192,7,0
400,94102,18,1
801,134894,13,0
603,106795,6,0
839,185159,13,1
654,86677,5,0
602,155699,11,1
795,154327,15,1
526,156285,16,1
535,122412,12,0
754,39404,22,0
312,136545,13,1
509,176452,28,1
696,170245,6,0
399,43989,13,0
330,128106,14,1
827,44519,11,0
628,42439,16,0
465,138570,8,0
758,34995,21,0
399,43559,14,0
472,109049,11,0
461,156093,1,0
562,118000,4,0
573,172191,12,1
302,59350,26,1
327,197295,19,1
625,45517,22,0
448,173322,7,1
839,109132,26,1
787,79546,13,0
737,125686,14,0
364,108151,10,0
655,23327,0,0
832,140318,20,1
551,180840,2,0
534,193860,16,1
526,135945,27,1
824,66830,18,0
612,72446,13,0
348,166232,21,1
417,185070,29,1
353,178302,22,1
343,160148,7,1
352,89341,12,0
824,51085,26,1
401,75571,19,1
697,165787,2,0
437,148308,4,0
686,25750,8,0
410,133931,28,1
316,98768,5,0
481,55903,24,1
835,183165,21,1
840,111036,1,0
470,107954,12,0
708,185386,4,0
677,199297,27,1
487,103014,26,1
529,186251,24,1
418,137305,7,0
455,176410,22,1
764,52101,0,0
403,22775,19,0
801,131497,11,0
474,65619,22,1
720,196910,10,1
433,170611,6,1
690,77124,14,0
800,85149,21,0
332,46616,23,1
354,188171,10,1
818,81799,28,1
311,110221,21,1
827,134879,25,1
672,45479,15,0
783,197244,2,0
527,119165,19,1
606,75863,13,0
756,193115,2,0
459,102569,0,0
630,166480,25,1
524,36351,20,0
803,155203,14,0
755,64825,0,0
344,31349,16,0
513,64254,1,0
358,58225,28,1
494,32453,19,0
788,169886,5,0
456,169335,7,1
525,97694,28,1
711,35735,15,0
504,166902,18,1
378,67893,0,0
423,195745,2,0
770,147006,27,1
517,65066,2,0
815,154445,4,0
403,161407,26,1
692,174813,11,1
733,30692,11,0
630,198367,19,1
442,65541,12,0
839,185129,19,1
577,86983,8,0
532,170655,6,0
828,173837,3,0
389,174978,18,1
791,140747,21,1
498,105103,18,1
661,197597,5,0
740,189302,26,1
325,170592,12,1
324,45566,10,0
693,93193,12,0
806,181206,12,0
600,161417,27,1
638,141015,24,1
566,192257,21,1
760,150956,27,1
755,90744,19,0
659,53455,14,0
367,179090,20,1
711,74219,12,0
790,65991,21,0
348,93616,10,0
401,107438,18,1
515,136841,7,0
737,160558,19,1
458,189934,7,1
788,78870,9,0
541,106694,25,1
304,63856,15,1
660,121407,18,1
758,51379,25,1
547,84729,22,1
721,179450,10,0
314,74353,12,0
421,34031,27,1
576,85982,8,0
752,56683,19,0
689,134091,23,1
593,137797,18,1
745,168690,15,1
509,26587,6,0
601,82790,18,1
522,51480,11,0
302,171599,14,1
817,43569,22,0
392,31151,13,0
819,64739,10,0
727,52954,25,1
792,129373,9,0
534,186375,26,1
460,54700,10,0
630,143728,5,0
632,86788,1,0
349,91045,10,0
822,188914,18,1
791,164972,5,0
571,147992,13,1
551,100059,19,1
389,21881,5,0
745,184109,16,1
631,152702,9,0
438,40789,27,1
656,146083,0,0
573,108059,2,0
318,66151,7,0
610,199992,7,1
453,129388,26,1
689,23262,19,0
559,86981,21,1
424,140951,14,1
653,143099,23,1
572,101972,6,0
544,95485,10,0
749,74722,6,0
546,109499,28,1
819,181004,3,0
440,26901,24,1
661,137473,11,0
307,28597,25,1
777,149631,5,0
651,83909,13,0
794,92391,11,0
726,159335,10,0
338,83293,18,1
486,176877,20,1
392,31874,4,0
385,106402,13,1
343,34079,20,1
436,92779,23,1
720,115408,15,0
373,160090,24,1
847,140606,12,0
811,140062,24,1
455,32100,28,1
554,77021,21,1
470,170872,21,1
469,148126,24,1
621,112446,19,1
755,49437,21,0
454,197747,3,0
648,171014,10,0
750,40862,16,0
472,31669,6,0
309,141219,13,1
564,35916,25,1
737,30878,10,0
546,22985,27,1
845,61235,21,0
798,38931,8,0
428,112876,22,1
626,20336,12,0
703,62933,22,0
658,65536,17,0
316,89504,27,1
573,119214,10,0
415,133936,14,1
390,36279,24,1
381,123751,25,1
623,124433,24,1
413,91386,21,1
357,106124,28,1
453,125750,18,1
703,97485,0,0
565,94055,3,0
614,111911,13,0
340,118618,13,1
404,133892,2,0
492,91128,29,1
700,169180,27,1
577,72495,16,0
653,102806,2,0
555,113185,15,1
398,190591,13,1
581,69649,29,1
702,185596,19,1
408,184957,28,1
498,195441,12,1
602,115402,14,0
626,50676,13,0
453,84093,23,1
704,198836,24,1
761,99414,18,0
431,113095,5,0
383,92307,9,0
698,115432,26,1
408,51923,14,0
520,137449,20,1
667,67574,21,1
446,194463,19,1
411,141757,25,1
793,73664,5,0
804,87384,22,1
774,51027,24,0
570,186536,9,1
720,54485,6,0
666,170528,21,1
579,55554,16,0
582,66922,17,0
339,33409,16,0
488,56639,8,0
463,39692,9,0
835,109037,9,0
835,38074,24,0
303,166621,6,1
589,49963,15,0
732,72265,28,1
770,36061,17,0
480,179882,5,0
547,133502,26,1
578,42800,19,0
553,136192,0,0
480,127228,0,0
808,48054,11,0
625,196469,20,1
656,33233,27,1
690,176140,1,0
384,85727,3,0
616,110610,16,1
511,90453,3,0
814,124135,10,0
683,176904,21,1
641,128464,25,1
337,33682,3,0
810,174455,0,0
719,78160,6,0
468,43666,29,1
642,78817,17,0
605,111198,8,0
841,185714,28,1
836,61830,2,0
411,30234,7,0
710,77616,28,1
505,29221,23,1
484,162482,18,1
681,21051,3,0
795,130529,17,0
678,96918,19,1
346,98116,26,1
827,142226,10,0
803,64757,26,1
321,141008,13,1
512,151379,24,1
609,76889,17,0
571,55944,27,1
501,119555,27,1
331,58134,28,1
742,178395,15,1
461,45954,2,0
553,109959,14,0
820,24992,26,0
779,21961,26,0
309,32497,3,0
804,183623,4,0
735,33255,16,0
410,155639,6,0
452,68847,15,0
401,199075,13,1
490,40389,25,1
380,195595,15,1
788,143802,6,0
387,81576,8,0
493,63919,3,0
403,23358,29,1
395,108535,29,1
722,125982,21,1
497,25698,10,0
300,86809,1,0
706,113079,11,0
677,75805,11,0
466,182421,29,1
808,95033,3,0
612,118239,17,1
717,150407,25,1
776,64041,20,0
372,51954,6,0
440,28002,28,1
561,89783,0,0
639,127524,25,1
607,144857,25,1
544,39738,22,1
814,30703,25,0
636,133776,12,0
375,163464,5,0
474,64724,5,0
408,52299,11,0
482,35641,7,0
491,99534,23,1
364,26305,21,1
773,38782,18,0
399,98257,4,0
843,97963,17,0
427,141987,29,1
751,171638,4,0
668,144591,29,1
342,87766,24,1
718,26511,9,0
787,134816,0,0
377,177249,9,1
569,24765,4,0
614,171426,11,1
467,43929,21,1
638,179892,29,1
492,131576,26,1
752,180595,6,0
582,91088,8,0
635,97525,21,1
689,33780,20,0
824,26589,11,0
539,185884,22,1
782,113664,28,1
757,197011,0,0
388,124188,10,1
394,113326,29,1
751,60953,20,0
727,85785,14,0
450,39309,1,0
813,74195,19,0
675,45901,6,0
321,174648,20,1
612,182580,11,1
818,45464,21,0
505,36260,17,0
674,144997,2,0
750,55440,6,0
478,115082,10,0
509,125583,17,1
799,76683,11,0
763,144206,5,0
423,192502,4,1
412,153059,25,1
311,176177,0,0
425,98484,11,0
630,164098,26,1
582,88309,25,1
439,65927,10,0
700,62946,3,0
396,146503,26,1
816,161449,17,1
368,73592,3,0
417,158419,16,1
358,53776,1,0
332,154855,28,1
617,75798,23,1
349,155370,21,1
788,90204,1,0
318,106207,11,1
496,120356,5,0
749,80652,9,0
751,185556,24,1
588,149572,22,1
440,40922,24,1
383,185100,20,1
690,171388,22,1
514,96996,26,1
825,168040,15,1
514,50266,13,0
702,175072,6,0
427,165083,27,1
776,22866,27,0
703,132669,18,1
328,25898,22,1
637,38395,16,0
660,190091,8,0
691,24006,25,0
517,185465,12,1
501,30956,21,0
316,157150,4,0
621,180703,22,1
817,115676,4,0
624,141724,9,0
711,82901,20,0
617,127227,26,1
381,137192,9,1
773,192646,26,1
767,51417,6,0
724,108020,25,1
503,103639,14,1
686,114881,6,0
397,190526,28,1
644,152659,26,1
507,141688,14,1
813,135584,2,0
465,106567,18,1
321,95886,9,0
453,169888,27,1
738,49432,28,1
594,199689,14,1
518,92373,2,0
794,185289,5,0
529,40884,11,0
319,25454,14,0
447,94960,5,0
407,122421,12,1
702,63618,28,1
782,67111,18,0
666,190685,2,0
713,140592,7,0
608,79993,7,0
433,148652,22,1
582,159920,25,1
372,98672,19,1
780,86125,14,0
651,137509,3,0
625,81602,18,0
742,62222,20,0
399,69223,2,0
358,85333,12,0
807,142650,7,0
557,69420,22,1
712,95504,15,0
751,22462,12,0
364,29460,2,0
453,119319,15,1
565,160347,8,0
378,164341,27,1
614,149593,13,1
547,142672,12,1
713,92920,20,1
324,42553,24,1
583,175438,6,0
748,64036,14,0
600,168441,6,0
367,162867,5,0
306,90021,1,0
436,127205,8,0
463,181215,21,1
382,180497,23,1
719,108209,16,0
372,95139,4,0
536,25368,11,0
345,155693,0,0
561,78829,9,0
475,149036,10,1
465,34719,15,0
669,49227,13,0
353,129430,7,0
718,158638,23,1
806,32306,16,0
640,73822,24,1
426,44042,17,0
708,166158,11,0
666,168459,24,1
570,178114,16,1
678,109424,27,1
372,169395,25,1
547,38019,13,0
342,95426,15,1
676,60863,13,0
340,131023,8,1
469,161355,3,0
511,169351,24,1
792,66999,22,0
338,82780,10,0
668,42908,5,0
450,146278,14,1
410,133002,4,0
779,189024,10,0
735,120706,24,1
346,188735,17,1
665,142019,29,1
368,129708,12,1
598,199001,10,1
595,29343,13,0
502,96173,27,1
360,120260,17,1
613,190863,26,1
460,180206,27,1
630,198173,24,1
827,89443,27,1
637,77530,18,0
603,197871,23,1
802,155899,26,1
637,116143,14,0
849,164771,8,0
574,134527,7,0
463,156385,19,1
742,164670,27,1
618,131362,0,0
803,48807,3,0
686,196298,13,1
793,79550,24,1
789,23558,1,0
372,70113,15,1
808,72999,2,0
689,187415,25,1
594,78219,7,0
668,186258,5,0
848,188038,15,1
486,184841,23,1
744,73218,15,0
662,39229,6,0
422,95209,29,1
487,47877,12,0
719,117137,12,0
551,58084,4,0
848,101780,24,1
634,167878,19,1
391,57034,21,1
829,191389,17,1
362,75468,14,1
811,170166,17,1
438,30589,1,0
484,77221,9,0
504,21657,22,0
513,118300,12,0
555,137229,17,1
434,59531,14,0
387,72227,11,0
506,23164,14,0
428,113078,12,1
