Cigarettes per Day,Age,Diet Quality,Life Expectancy
20,31,Poor,97.7
17,52,Average,91.4
0,72,Average,68.4
13,25,Average,95.5
9,46,Poor,82.2
3,23,Poor,83.1
11,53,Average,85.1
16,71,Average,84.7
7,34,Average,86.8
19,31,Average,99.7
6,48,Average,81.6
1,67,Average,70.9
19,38,Poor,94.6
16,52,Average,90.4
5,54,Average,78.8
17,43,Average,94.1
13,50,Poor,85.0
4,73,Excellent,75.1
15,59,Average,87.3
16,39,Average,94.3
17,49,Poor,89.3
0,66,Poor,67.2
18,44,Excellent,97.8
7,31,Average,87.7
8,32,Excellent,91.4
16,55,Excellent,92.5
2,59,Poor,71.3
14,79,Average,80.3
18,73,Excellent,89.1
11,77,Average,77.9
6,40,Poor,81.0
13,74,Average,80.8
16,53,Average,90.1
16,25,Average,98.5
3,37,Average,81.9
3,54,Poor,73.8
7,33,Poor,84.1
8,72,Excellent,79.4
17,24,Average,99.8
17,48,Poor,89.6
16,24,Average,98.8
9,49,Excellent,87.3
19,55,Average,92.5
15,30,Excellent,99.0
16,67,Average,85.9
13,73,Poor,78.1
19,66,Excellent,92.2
16,34,Average,95.8
14,76,Average,81.2
3,22,Average,86.4
12,43,Average,89.1
16,37,Excellent,97.9
18,22,Poor,98.4
1,66,Poor,68.2
12,33,Poor,89.1
13,66,Average,83.2
12,45,Average,88.5
13,79,Average,79.3
5,70,Average,74.0
1,56,Excellent,77.2
19,50,Average,94.0
13,69,Average,82.3
18,34,Poor,94.8
7,40,Average,85.0
2,47,Excellent,80.9
3,36,Poor,79.2
0,68,Average,69.6
4,45,Poor,77.5
0,65,Poor,67.5
17,44,Average,93.8
8,33,Average,88.1
14,21,Excellent,100.7
20,27,Poor,98.9
15,61,Poor,83.7
20,55,Poor,90.5
11,37,Average,89.9
5,72,Average,73.4
11,58,Excellent,86.6
11,61,Poor,79.7
8,29,Poor,86.3
1,43,Poor,75.1
7,60,Average,79.0
16,22,Average,99.4
3,51,Poor,74.7
9,45,Poor,82.5
7,38,Average,85.6
14,66,Average,84.2
3,58,Excellent,78.6
4,41,Average,81.7
17,24,Average,99.8
2,29,Excellent,86.3
2,69,Average,71.3
20,47,Excellent,98.9
18,55,Average,91.5
5,23,Average,88.1
14,58,Average,86.6
7,68,Poor,73.6
5,42,Average,82.4
4,54,Excellent,80.8
17,54,Average,90.8
10,56,Poor,80.2
11,23,Poor,91.1
5,56,Average,78.2
8,28,Average,89.6
9,73,Average,77.1
6,64,Average,76.8
7,24,Excellent,92.8
8,70,Average,77.0
6,38,Excellent,87.6
16,35,Average,95.5
2,43,Average,79.1
9,79,Average,75.3
2,51,Average,76.7
3,26,Poor,82.2
10,23,Poor,90.1
2,66,Excellent,75.2
19,47,Poor,91.9
10,30,Average,91.0
6,47,Poor,78.9
5,74,Average,72.8
13,31,Average,93.7
3,62,Average,74.4
2,51,Average,76.7
17,22,Excellent,103.4
12,67,Average,81.9
13,36,Poor,89.2
2,54,Poor,72.8
4,31,Poor,81.7
3,25,Average,85.5
16,67,Average,85.9
6,20,Poor,87.0
0,53,Average,74.1
3,26,Poor,82.2
15,37,Average,93.9
10,56,Average,83.2
3,78,Average,69.6
7,32,Poor,84.4
4,77,Average,70.9
10,65,Average,80.5
12,27,Average,93.9
17,56,Average,90.2
7,60,Poor,76.0
18,41,Average,95.7
12,38,Poor,87.6
12,29,Average,93.3
13,57,Average,85.9
17,70,Poor,83.0
18,52,Excellent,95.4
6,40,Average,84.0
3,61,Average,74.7
10,28,Average,91.6
3,73,Average,71.1
1,58,Excellent,76.6
20,20,Excellent,107.0
4,38,Average,82.6
1,77,Average,67.9
15,43,Poor,89.1
0,75,Average,67.5
15,56,Poor,85.2
8,45,Poor,81.5
10,55,Average,83.5
1,43,Average,78.1
8,20,Poor,89.0
13,59,Poor,82.3
5,31,Poor,82.7
9,69,Average,78.3
12,60,Excellent,87.0
0,56,Average,73.2
4,79,Poor,67.3
6,35,Average,85.5
11,33,Poor,88.1
4,79,Average,70.3
7,28,Average,88.6
7,24,Poor,86.8
13,68,Excellent,85.6
16,56,Average,89.2
15,27,Poor,93.9
2,42,Excellent,82.4
5,21,Excellent,91.7
6,29,Average,87.3
1,63,Average,72.1
11,79,Average,77.3
8,63,Average,79.1
10,68,Poor,76.6
5,74,Average,72.8
13,59,Average,85.3
3,31,Excellent,86.7
1,76,Excellent,71.2
17,47,Average,92.9
0,69,Poor,66.3
16,47,Poor,88.9
19,68,Average,88.6
1,21,Average,84.7
3,74,Average,70.8
2,58,Excellent,77.6
11,66,Poor,78.2
20,76,Poor,84.2
17,21,Poor,97.7
9,40,Poor,84.0
2,47,Excellent,80.9
15,66,Average,85.2
19,73,Poor,84.1
11,32,Average,91.4
4,78,Poor,67.6
19,54,Poor,89.8
1,59,Excellent,76.3
19,59,Average,91.3
1,40,Average,79.0
6,79,Poor,69.3
6,40,Average,84.0
17,47,Excellent,95.9
10,34,Average,89.8
14,52,Average,88.4
12,40,Poor,87.0
12,55,Excellent,88.5
6,74,Poor,70.8
4,29,Average,85.3
17,77,Average,83.9
5,67,Excellent,77.9
3,20,Excellent,90.0
2,77,Poor,65.9
5,74,Excellent,75.8
9,69,Average,78.3
6,64,Average,76.8
10,77,Average,76.9
5,43,Poor,79.1
10,46,Average,86.2
13,29,Excellent,97.3
6,76,Poor,70.2
6,53,Average,80.1
0,46,Average,76.2
9,47,Average,84.9
11,44,Excellent,90.8
0,24,Average,82.8
9,63,Excellent,83.1
6,48,Poor,78.6
10,40,Average,88.0
20,67,Excellent,92.9
12,52,Average,86.4
18,75,Poor,82.5
12,64,Poor,79.8
1,54,Excellent,77.8
13,60,Poor,82.0
17,44,Average,93.8
11,77,Average,77.9
1,56,Excellent,77.2
16,46,Average,92.2
13,50,Excellent,91.0
15,47,Average,90.9
13,77,Poor,76.9
14,78,Excellent,83.6
8,38,Poor,83.6
16,45,Excellent,95.5
15,52,Average,89.4
16,49,Average,91.3
2,30,Poor,80.0
1,75,Poor,65.5
14,68,Average,83.6
3,30,Poor,81.0
16,57,Poor,85.9
20,52,Average,94.4
12,31,Average,92.7
4,20,Poor,85.0
14,42,Poor,88.4
1,49,Average,76.3
2,73,Average,70.1
13,67,Excellent,85.9
5,27,Average,86.9
12,28,Average,93.6
4,43,Poor,78.1
7,37,Poor,82.9
3,32,Poor,80.4
12,79,Average,78.3
0,67,Average,69.9
3,44,Poor,76.8
12,59,Poor,81.3
19,71,Excellent,90.7
19,44,Average,95.8
5,75,Poor,69.5
8,24,Poor,87.8
5,60,Excellent,80.0
1,78,Poor,64.6
10,55,Average,83.5
12,66,Average,82.2
14,45,Average,90.5
0,71,Average,68.7
18,26,Average,100.2
12,20,Excellent,99.0
18,51,Average,92.7
9,70,Excellent,81.0
18,49,Average,93.3
12,51,Poor,83.7
17,64,Poor,84.8
20,70,Poor,86.0
15,40,Average,93.0
19,45,Poor,92.5
3,64,Average,73.8
0,22,Poor,80.4
17,27,Excellent,101.9
12,38,Excellent,93.6
16,36,Poor,92.2
7,62,Poor,75.4
17,76,Average,84.2
5,39,Excellent,86.3
13,56,Poor,83.2
2,74,Excellent,72.8
10,75,Poor,74.5
13,55,Average,86.5
14,50,Excellent,92.0
3,48,Average,78.6
19,28,Average,100.6
7,49,Poor,79.3
10,39,Excellent,91.3
4,54,Poor,74.8
17,73,Average,85.1
14,36,Average,93.2
20,35,Excellent,102.5
18,21,Poor,98.7
1,64,Excellent,74.8
7,72,Poor,72.4
1,44,Poor,74.8
2,45,Average,78.5
14,70,Excellent,86.0
0,58,Average,72.6
19,79,Average,85.3
14,47,Poor,86.9
14,62,Excellent,88.4
17,57,Excellent,92.9
8,72,Excellent,79.4
17,27,Average,98.9
7,25,Average,89.5
0,30,Excellent,84.0
0,50,Poor,72.0
7,51,Excellent,84.7
12,74,Average,79.8
18,41,Average,95.7
7,31,Average,87.7
20,28,Average,101.6
20,38,Poor,95.6
0,22,Average,83.4
8,31,Poor,85.7
19,77,Excellent,88.9
6,53,Poor,77.1
6,51,Poor,77.7
10,54,Excellent,86.8
16,37,Average,94.9
13,20,Poor,94.0
0,30,Average,81.0
13,41,Average,90.7
1,69,Excellent,73.3
10,20,Average,94.0
4,39,Poor,79.3
2,51,Average,76.7
11,40,Average,89.0
10,65,Average,80.5
17,55,Poor,87.5
20,67,Average,89.9
14,57,Poor,83.9
20,77,Excellent,89.9
14,35,Average,93.5
3,22,Average,86.4
19,35,Average,98.5
0,41,Excellent,80.7
2,20,Average,86.0
6,26,Average,88.2
14,61,Average,85.7
4,43,Average,81.1
5,64,Average,75.8
18,41,Excellent,98.7
1,41,Poor,75.7
18,68,Average,87.6
18,79,Average,84.3
16,45,Average,92.5
11,39,Average,89.3
1,76,Excellent,71.2
10,25,Poor,89.5
2,32,Average,82.4
10,74,Average,77.8
2,36,Average,81.2
14,33,Average,94.1
10,36,Poor,86.2
20,61,Average,91.7
1,68,Average,70.6
7,28,Poor,85.6
8,53,Average,82.1
18,52,Excellent,95.4
0,74,Average,67.8
5,35,Average,84.5
1,61,Average,72.7
8,23,Poor,88.1
5,57,Average,77.9
6,39,Poor,81.3
12,55,Poor,82.5
19,47,Excellent,97.9
14,30,Average,95.0
2,62,Average,73.4
12,42,Poor,86.4
7,24,Average,89.8
12,54,Average,85.8
15,65,Average,85.5
8,41,Average,85.7
16,25,Poor,95.5
2,68,Average,71.6
17,36,Poor,93.2
13,34,Poor,89.8
6,21,Poor,86.7
16,32,Excellent,99.4
10,42,Excellent,90.4
18,78,Average,84.6
3,76,Poor,67.2
20,71,Average,88.7
0,41,Average,77.7
12,77,Average,78.9
9,77,Average,75.9
5,26,Excellent,90.2
14,27,Poor,92.9
14,79,Excellent,83.3
15,33,Average,95.1
2,60,Poor,71.0
16,58,Excellent,91.6
12,64,Average,82.8
18,44,Average,94.8
3,78,Average,69.6
3,27,Average,84.9
19,32,Poor,96.4
19,52,Poor,90.4
9,58,Average,81.6
6,32,Poor,83.4
11,78,Average,77.6
3,77,Average,69.9
9,43,Poor,83.1
3,35,Average,82.5
12,63,Poor,80.1
16,57,Average,88.9
9,41,Poor,83.7
16,47,Poor,88.9
12,52,Poor,83.4
2,45,Poor,75.5
1,64,Excellent,74.8
4,72,Poor,69.4
10,54,Poor,80.8
16,79,Average,82.3
16,74,Average,83.8
6,54,Poor,76.8
16,51,Excellent,93.7
5,71,Average,73.7
10,49,Average,85.3
20,77,Average,86.9
15,26,Average,97.2
20,60,Poor,89.0
4,26,Average,86.2
1,28,Excellent,85.6
5,51,Excellent,82.7
8,31,Poor,85.7
12,25,Average,94.5
10,75,Poor,74.5
6,68,Excellent,78.6
19,74,Average,86.8
15,22,Excellent,101.4
6,52,Average,80.4
15,20,Poor,96.0
16,71,Poor,81.7
16,64,Average,86.8
18,73,Poor,83.1
17,78,Poor,80.6
4,54,Excellent,80.8
14,71,Excellent,85.7
2,44,Average,78.8
18,22,Average,101.4
12,55,Poor,82.5
4,42,Excellent,84.4
2,55,Average,75.5
7,58,Average,79.6
14,40,Poor,89.0
8,38,Poor,83.6
6,60,Poor,75.0
7,71,Poor,72.7
5,29,Excellent,89.3
5,56,Excellent,81.2
16,49,Average,91.3
16,59,Poor,85.3
11,21,Poor,91.7
9,44,Average,85.8
7,77,Average,73.9
17,65,Poor,84.5
1,52,Excellent,78.4
17,79,Excellent,86.3
8,52,Average,82.4
7,63,Average,78.1
7,35,Average,86.5
15,57,Excellent,90.9
1,75,Poor,65.5
7,68,Excellent,79.6
1,58,Poor,70.6
4,63,Poor,72.1
14,43,Poor,88.1
10,38,Poor,85.6
16,35,Average,95.5
20,54,Excellent,96.8
6,52,Average,80.4
10,33,Poor,87.1
0,39,Average,78.3
14,70,Excellent,86.0
16,43,Excellent,96.1
7,44,Poor,80.8
19,52,Poor,90.4
5,56,Poor,75.2
1,64,Average,71.8
3,45,Average,79.5
18,34,Excellent,100.8
1,47,Average,76.9
2,76,Average,69.2
12,38,Average,90.6
0,48,Poor,72.6
14,49,Poor,86.3
18,42,Average,95.4
6,30,Average,87.0
19,41,Poor,93.7
17,54,Poor,87.8
9,33,Average,89.1
15,44,Average,91.8
11,66,Excellent,84.2
10,61,Average,81.7
18,72,Average,86.4
2,31,Average,82.7
7,68,Average,76.6
5,21,Average,88.7
4,45,Average,80.5
20,42,Average,97.4
7,46,Average,83.2
9,21,Average,92.7
7,45,Poor,80.5
13,42,Poor,87.4
10,21,Poor,90.7
17,24,Average,99.8
1,57,Poor,70.9
18,61,Average,89.7
18,71,Poor,83.7
16,35,Average,95.5
18,39,Excellent,99.3
17,52,Excellent,94.4
14,43,Poor,88.1
6,62,Average,77.4
14,55,Poor,84.5
1,27,Poor,79.9
6,55,Poor,76.5
15,73,Average,83.1
0,51,Poor,71.7
7,44,Excellent,86.8
16,63,Average,87.1
0,73,Average,68.1
16,64,Poor,83.8
16,24,Poor,95.8
6,72,Poor,71.4
13,48,Average,88.6
9,26,Average,91.2
13,35,Average,92.5
5,42,Average,82.4
1,64,Poor,68.8
14,36,Average,93.2
18,79,Poor,81.3
