Cigarettes per Day,Age,Diet Quality,Life Expectancy
0,73,Average,68.1
14,77,Excellent,83.9
4,22,Average,87.4
19,59,Average,91.3
10,65,Average,80.5
9,43,Poor,83.1
1,69,Excellent,73.3
2,51,Average,76.7
11,66,Excellent,84.2
19,41,Poor,93.7
4,42,Excellent,84.4
4,21,Average,87.7
5,46,Poor,78.2
8,61,Poor,76.7
1,21,Average,84.7
20,45,Average,96.5
11,36,Excellent,93.2
2,59,Poor,71.3
19,52,Poor,90.4
11,28,Average,92.6
16,62,Average,87.4
9,73,Average,77.1
13,67,Excellent,85.9
16,58,Excellent,91.6
17,48,Excellent,95.6
18,61,Average,89.7
16,74,Average,83.8
13,45,Average,89.5
8,54,Average,81.8
7,69,Excellent,79.3
1,44,Poor,74.8
12,43,Average,89.1
6,32,Poor,83.4
8,79,Average,74.3
10,77,Excellent,79.9
13,26,Average,95.2
3,76,Poor,67.2
12,55,Excellent,88.5
1,64,Average,71.8
4,39,Poor,79.3
10,20,Poor,91.0
5,27,Poor,83.9
17,65,Poor,84.5
20,35,Excellent,102.5
9,33,Average,89.1
3,31,Excellent,86.7
8,70,Average,77.0
5,42,Poor,79.4
1,34,Average,80.8
16,47,Poor,88.9
4,53,Average,78.1
5,21,Excellent,91.7
11,51,Average,85.7
20,42,Average,97.4
9,41,Poor,83.7
20,70,Poor,86.0
5,44,Poor,78.8
7,77,Average,73.9
1,41,Poor,75.7
11,77,Average,77.9
12,77,Average,78.9
20,41,Average,97.7
6,68,Poor,72.6
9,71,Poor,74.7
12,61,Excellent,86.7
16,25,Average,98.5
20,34,Average,99.8
13,73,Poor,78.1
1,62,Excellent,75.4
10,79,Average,76.3
0,56,Average,73.2
18,52,Excellent,95.4
20,27,Poor,98.9
3,72,Average,71.4
18,79,Average,84.3
20,63,Poor,88.1
10,63,Excellent,84.1
7,24,Average,89.8
10,58,Average,82.6
3,23,Poor,83.1
16,25,Poor,95.5
6,64,Average,76.8
7,51,Average,81.7
2,71,Poor,67.7
1,49,Average,76.3
14,66,Average,84.2
4,54,Poor,74.8
0,74,Average,67.8
3,59,Poor,72.3
14,71,Excellent,85.7
19,35,Average,98.5
18,32,Poor,95.4
2,69,Average,71.3
19,79,Average,85.3
10,61,Average,81.7
16,49,Average,91.3
12,38,Average,90.6
10,36,Poor,86.2
1,75,Poor,65.5
8,38,Poor,83.6
1,47,Average,76.9
20,77,Excellent,89.9
8,74,Average,75.8
8,45,Poor,81.5
7,56,Average,80.2
16,45,Excellent,95.5
0,72,Average,68.4
10,42,Excellent,90.4
7,28,Poor,85.6
9,31,Poor,86.7
6,72,Excellent,77.4
2,20,Average,86.0
2,77,Average,68.9
17,77,Average,83.9
4,20,Excellent,91.0
11,66,Average,81.2
11,53,Average,85.1
18,51,Average,92.7
5,73,Average,73.1
1,67,Average,70.9
11,44,Excellent,90.8
18,59,Excellent,93.3
4,64,Excellent,77.8
11,72,Poor,76.4
16,20,Average,100.0
16,35,Average,95.5
9,58,Average,81.6
16,24,Average,98.8
14,41,Excellent,94.7
11,48,Average,86.6
15,74,Average,82.8
18,22,Poor,98.4
7,31,Average,87.7
20,45,Average,96.5
16,35,Average,95.5
4,70,Poor,70.0
15,56,Poor,85.2
5,41,Average,82.7
7,76,Poor,71.2
17,48,Poor,89.6
11,33,Poor,88.1
14,47,Poor,86.9
8,24,Poor,87.8
12,66,Average,82.2
14,68,Average,83.6
9,49,Excellent,87.3
15,65,Average,85.5
6,71,Average,74.7
16,24,Poor,95.8
20,31,Poor,97.7
6,35,Average,85.5
13,45,Poor,86.5
14,45,Average,90.5
20,67,Average,89.9
6,40,Average,84.0
8,58,Poor,77.6
18,55,Average,91.5
15,52,Average,89.4
7,49,Poor,79.3
17,56,Average,90.2
17,42,Average,94.4
19,77,Excellent,88.9
6,29,Poor,84.3
2,73,Excellent,73.1
17,24,Average,99.8
9,55,Average,82.5
6,53,Poor,77.1
16,71,Average,84.7
13,50,Poor,85.0
2,29,Average,83.3
11,77,Poor,74.9
12,38,Excellent,93.6
1,77,Average,67.9
2,51,Average,76.7
4,20,Poor,85.0
10,75,Poor,74.5
7,24,Average,89.8
11,64,Average,81.8
6,23,Poor,86.1
14,35,Average,93.5
16,43,Excellent,96.1
3,35,Average,82.5
12,74,Average,79.8
17,21,Excellent,103.7
0,68,Poor,66.6
15,47,Average,90.9
12,51,Excellent,89.7
9,46,Poor,82.2
11,39,Average,89.3
1,43,Average,78.1
2,31,Average,82.7
9,69,Average,78.3
1,54,Excellent,77.8
12,79,Average,78.3
12,52,Poor,83.4
17,52,Excellent,94.4
2,70,Poor,68.0
6,62,Average,77.4
13,56,Average,86.2
19,31,Average,99.7
16,22,Average,99.4
20,20,Excellent,107.0
11,52,Average,85.4
15,59,Average,87.3
11,29,Poor,89.3
14,62,Excellent,88.4
9,63,Excellent,83.1
6,48,Average,81.6
19,32,Poor,96.4
4,31,Poor,81.7
0,50,Poor,72.0
16,65,Poor,83.5
2,21,Average,85.7
12,70,Excellent,84.0
13,69,Average,82.3
17,54,Poor,87.8
3,42,Poor,77.4
17,36,Poor,93.2
4,45,Poor,77.5
15,27,Poor,93.9
0,48,Poor,72.6
20,45,Average,96.5
13,29,Excellent,97.3
14,45,Average,90.5
8,53,Average,82.1
14,70,Excellent,86.0
16,60,Poor,85.0
3,26,Poor,82.2
11,23,Excellent,97.1
4,77,Poor,67.9
4,72,Average,72.4
10,69,Average,79.3
5,64,Average,75.8
6,30,Average,87.0
13,48,Average,88.6
10,75,Poor,74.5
12,55,Poor,82.5
1,44,Average,77.8
6,40,Average,84.0
19,76,Poor,83.2
3,55,Excellent,79.5
7,29,Average,88.3
19,56,Excellent,95.2
20,28,Average,101.6
18,43,Average,95.1
12,54,Average,85.8
13,68,Excellent,85.6
9,54,Poor,79.8
10,67,Average,79.9
1,55,Poor,71.5
8,37,Average,86.9
16,68,Average,85.6
2,58,Excellent,77.6
5,51,Excellent,82.7
4,43,Poor,78.1
4,42,Poor,78.4
14,51,Average,88.7
16,56,Average,89.2
8,31,Poor,85.7
2,68,Average,71.6
19,74,Average,86.8
16,32,Excellent,99.4
9,42,Poor,83.4
2,44,Average,78.8
17,54,Average,90.8
17,60,Average,89.0
16,49,Average,91.3
2,36,Average,81.2
2,68,Poor,68.6
5,39,Excellent,86.3
12,67,Average,81.9
14,44,Poor,87.8
8,41,Average,85.7
3,32,Poor,80.4
13,78,Poor,76.6
4,38,Excellent,85.6
1,68,Average,70.6
10,55,Average,83.5
8,31,Poor,85.7
2,60,Average,74.0
8,38,Poor,83.6
2,31,Average,82.7
1,28,Excellent,85.6
11,26,Average,93.2
9,47,Average,84.9
8,33,Average,88.1
14,50,Excellent,92.0
7,71,Average,75.7
4,38,Average,82.6
10,77,Average,76.9
1,66,Poor,68.2
14,35,Poor,90.5
5,72,Average,73.4
7,24,Poor,86.8
4,54,Poor,74.8
15,31,Excellent,98.7
17,44,Average,93.8
5,71,Average,73.7
4,78,Average,70.6
15,40,Average,93.0
12,55,Poor,82.5
4,72,Average,72.4
12,42,Poor,86.4
16,35,Average,95.5
17,76,Average,84.2
7,58,Average,79.6
12,64,Average,82.8
18,72,Average,86.4
2,61,Poor,70.7
7,77,Average,73.9
1,58,Poor,70.6
7,33,Poor,84.1
12,50,Poor,84.0
12,77,Average,78.9
0,24,Average,82.8
5,54,Poor,75.8
18,42,Average,95.4
15,48,Average,90.6
7,62,Poor,75.4
0,30,Excellent,84.0
15,37,Average,93.9
8,66,Average,78.2
12,31,Average,92.7
10,28,Poor,88.6
12,29,Average,93.3
20,77,Average,86.9
9,63,Excellent,83.1
3,36,Poor,79.2
5,57,Average,77.9
6,26,Average,88.2
4,65,Poor,71.5
10,32,Average,90.4
12,59,Average,84.3
18,61,Excellent,92.7
9,28,Average,90.6
9,69,Average,78.3
10,46,Excellent,89.2
20,77,Excellent,89.9
6,21,Poor,86.7
17,24,Average,99.8
3,48,Average,78.6
1,56,Excellent,77.2
13,57,Average,85.9
12,38,Poor,87.6
11,27,Average,92.9
6,67,Average,75.9
1,64,Excellent,74.8
12,20,Excellent,99.0
13,41,Average,90.7
16,71,Poor,81.7
8,36,Average,87.2
16,26,Poor,95.2
7,44,Poor,80.8
1,64,Excellent,74.8
12,23,Poor,92.1
2,55,Average,75.5
15,25,Excellent,100.5
5,79,Average,71.3
18,50,Poor,90.0
6,38,Excellent,87.6
9,63,Poor,77.1
8,73,Average,76.1
1,58,Excellent,76.6
14,46,Excellent,93.2
4,29,Average,85.3
3,45,Average,79.5
19,38,Poor,94.6
3,58,Excellent,78.6
17,22,Excellent,103.4
3,64,Average,73.8
16,32,Poor,93.4
11,69,Poor,77.3
16,47,Poor,88.9
9,77,Average,75.9
0,39,Average,78.3
17,47,Excellent,95.9
17,27,Average,98.9
13,60,Poor,82.0
14,58,Average,86.6
11,20,Average,95.0
3,22,Average,86.4
2,32,Average,82.4
19,47,Excellent,97.9
11,76,Excellent,81.2
6,79,Poor,69.3
10,68,Poor,76.6
0,44,Average,76.8
5,75,Poor,69.5
14,52,Average,88.4
14,57,Poor,83.9
18,72,Average,86.4
10,25,Poor,89.5
1,77,Average,67.9
13,63,Excellent,87.1
1,64,Poor,68.8
3,51,Poor,74.7
16,64,Average,86.8
2,66,Excellent,75.2
12,40,Poor,87.0
8,35,Average,87.5
6,73,Poor,71.1
14,40,Average,92.0
10,30,Average,91.0
19,79,Average,85.3
1,56,Excellent,77.2
14,55,Poor,84.5
13,54,Excellent,89.8
19,38,Poor,94.6
10,39,Excellent,91.3
2,76,Average,69.2
16,37,Excellent,97.9
11,66,Poor,78.2
20,60,Poor,89.0
14,68,Average,83.6
15,33,Average,95.1
4,34,Poor,80.8
19,50,Average,94.0
5,20,Poor,86.0
18,72,Average,86.4
4,73,Excellent,75.1
2,73,Average,70.1
0,22,Poor,80.4
5,35,Average,84.5
14,42,Poor,88.4
1,76,Excellent,71.2
2,30,Poor,80.0
16,31,Average,96.7
11,29,Excellent,95.3
17,51,Excellent,94.7
14,35,Average,93.5
11,27,Excellent,95.9
15,57,Excellent,90.9
7,31,Average,87.7
13,43,Average,90.1
16,47,Average,91.9
20,72,Average,88.4
7,27,Average,88.9
14,77,Average,80.9
13,47,Poor,85.9
17,55,Poor,87.5
19,45,Poor,92.5
6,27,Poor,84.9
2,77,Poor,65.9
11,79,Average,77.3
20,69,Poor,86.3
2,47,Excellent,80.9
19,47,Poor,91.9
13,56,Poor,83.2
14,60,Average,86.0
13,55,Average,86.5
6,46,Poor,79.2
16,73,Excellent,87.1
11,36,Excellent,93.2
19,28,Average,100.6
3,52,Average,77.4
8,72,Excellent,79.4
5,39,Average,83.3
15,32,Average,95.4
20,47,Excellent,98.9
20,67,Poor,86.9
1,48,Average,76.6
7,32,Poor,84.4
10,65,Average,80.5
12,54,Average,85.8
16,25,Average,98.5
7,37,Poor,82.9
20,70,Poor,86.0
17,24,Average,99.8
17,66,Average,87.2
13,44,Average,89.8
14,21,Poor,94.7
5,29,Excellent,89.3
10,75,Poor,74.5
12,49,Excellent,90.3
0,69,Poor,66.3
5,78,Average,71.6
8,64,Poor,75.8
7,24,Excellent,92.8
10,74,Average,77.8
18,75,Poor,82.5
8,52,Average,82.4
16,73,Poor,81.1
11,20,Poor,92.0
13,37,Excellent,94.9
14,51,Average,88.7
15,66,Average,85.2
19,68,Average,88.6
0,30,Average,81.0
9,40,Poor,84.0
7,45,Poor,80.5
17,44,Average,93.8
0,41,Excellent,80.7
1,78,Poor,64.6
0,46,Poor,73.2
0,68,Average,69.6
8,32,Excellent,91.4
12,52,Poor,83.4
0,53,Average,74.1
12,60,Excellent,87.0
19,54,Poor,89.8
6,20,Poor,87.0
1,40,Average,79.0
5,67,Excellent,77.9
6,74,Poor,70.8
13,25,Average,95.5
17,47,Average,92.9
14,36,Average,93.2
1,24,Average,83.8
9,50,Average,84.0
11,24,Average,93.8
16,57,Average,88.9
7,22,Average,90.4
10,72,Average,78.4
2,42,Excellent,82.4
5,56,Poor,75.2
8,72,Excellent,79.4
5,56,Excellent,81.2
8,29,Poor,86.3
6,29,Average,87.3
8,38,Average,86.6
17,36,Poor,93.2
11,40,Average,89.0
7,33,Poor,84.1
7,28,Poor,85.6
17,65,Excellent,90.5
19,20,Poor,100.0
14,70,Excellent,86.0
6,64,Average,76.8
10,32,Excellent,93.4
19,23,Average,102.1
15,20,Poor,96.0
3,68,Average,72.6
5,59,Poor,74.3
2,51,Average,76.7
