Credit Score,Annual Income,Years of Employment,Loan Approved
556,26077,22,0
439,55357,28,1
778,89535,10,0
806,40943,8,0
776,62699,21,0
491,84491,23,1
324,64447,25,1
368,166539,13,1
407,109558,3,0
769,38164,5,0
457,191491,27,1
506,85214,26,1
556,31795,12,0
827,92369,0,0
717,153312,3,0
497,155659,29,1
802,170913,11,1
405,73042,0,0
798,150620,8,0
673,30810,20,0
641,48622,14,0
330,187796,24,1
725,72921,3,0
308,70834,0,0
365,137929,9,0
769,124676,6,0
564,20171,3,0
549,62737,26,1
349,188864,28,1
672,150891,3,0
364,141047,15,1
350,108699,0,0
476,197944,6,1
773,123474,12,0
838,130709,28,1
779,136307,21,1
698,44834,18,0
426,166930,5,0
436,52796,1,0
339,193304,17,1
579,101326,15,0
340,88395,8,0
429,77185,9,0
772,195988,20,1
725,174145,13,1
680,34090,16,0
769,128403,9,0
593,69021,24,1
743,78739,4,0
719,87358,7,0
687,69216,5,0
721,159902,7,0
806,140174,20,1
559,32127,3,0
724,194472,1,0
783,181175,9,0
815,160820,26,1
823,49382,1,0
687,117276,8,0
410,189130,16,1
810,135043,6,0
440,184988,14,1
354,193295,21,1
621,150326,12,1
782,59070,6,0
330,114539,0,0
641,147842,10,0
324,87267,20,1
334,136081,12,1
741,151562,22,1
658,121568,20,1
757,111142,13,0
817,194078,1,0
540,133678,0,0
752,128340,9,0
338,114806,27,1
684,149115,4,0
615,70371,3,0
506,198175,9,1
373,42631,8,0
528,77774,28,1
795,119671,19,1
328,130616,13,1
699,154379,23,1
336,49069,7,0
471,198592,19,1
341,173632,12,1
763,86802,2,0
682,153961,4,0
482,41861,13,0
418,97164,13,0
715,100529,23,1
386,134327,7,0
798,157507,27,1
323,120436,25,1
424,23846,22,1
498,106920,9,0
368,98653,7,0
503,135436,15,1
508,117881,11,0
806,40551,9,0
723,150505,1,0
810,71578,26,1
466,153894,11,1
738,97253,16,0
547,119236,26,1
428,192701,11,1
728,130695,1,0
352,144310,25,1
509,83623,8,0
656,72792,25,1
661,89725,24,1
789,196340,1,0
722,34994,12,0
336,82870,23,1
688,87029,20,1
503,156750,17,1
339,132935,8,0
521,120920,0,0
490,136284,2,0
759,37407,6,0
460,197616,20,1
475,114748,5,0
598,96347,22,1
598,151085,29,1
664,95169,10,0
502,121018,16,1
726,71277,22,1
763,109674,9,0
668,113690,20,1
727,104567,11,0
748,95989,7,0
344,38011,1,0
834,184407,24,1
680,145436,13,1
691,136821,12,0
511,183551,5,0
527,169990,24,1
609,32754,21,0
801,98427,5,0
618,91421,16,0
713,65530,11,0
820,33591,23,0
474,105191,8,0
553,137645,5,0
611,98612,15,0
603,181738,16,1
819,73667,7,0
548,162021,8,0
612,185270,6,0
385,182465,11,1
386,117567,26,1
626,182284,16,1
319,150846,0,0
626,33485,9,0
652,172706,28,1
807,62770,15,0
657,100208,20,1
642,176259,12,1
661,73247,21,1
439,73064,4,0
471,158620,28,1
367,142842,17,1
509,113065,3,0
625,120383,20,1
775,29265,6,0
557,174731,9,1
724,109903,25,1
663,39328,16,0
403,69069,4,0
351,192924,14,1
650,95574,13,0
766,139516,1,0
738,58948,17,0
607,117694,15,1
729,137793,1,0
532,35465,25,1
649,149654,15,1
432,45114,22,1
732,87374,10,0
790,63026,22,1
704,104696,17,1
353,151416,3,0
704,158702,19,1
708,135186,14,1
640,47177,29,1
315,171850,22,1
653,147537,4,0
580,87281,20,1
644,122903,13,0
660,192110,12,1
617,48758,15,0
703,24850,1,0
414,176114,28,1
600,142879,4,0
693,90027,19,1
673,44856,5,0
771,30475,20,0
435,198694,0,0
597,53980,17,0
700,172683,17,1
478,144591,17,1
335,119980,7,0
584,114509,8,0
381,77893,18,1
337,141289,5,0
813,172104,2,0
765,178964,3,0
586,72219,26,1
334,187413,0,0
303,59282,23,1
717,26927,3,0
471,57655,25,1
645,184286,20,1
813,91734,29,1
654,101260,1,0
740,28145,14,0
403,67725,12,0
382,118784,6,0
610,37990,4,0
696,133363,6,0
507,97734,17,1
581,83809,29,1
551,100485,29,1
542,105345,24,1
353,61091,1,0
770,158362,16,1
647,106706,2,0
377,175553,14,1
762,180259,10,1
673,61293,17,0
496,33730,24,1
346,176495,5,0
776,163841,25,1
570,105022,21,1
556,167369,8,0
734,145577,8,0
785,105145,1,0
482,111888,5,0
478,103196,0,0
544,82025,21,1
485,152604,0,0
829,78686,11,0
566,136832,19,1
599,181685,6,0
525,77547,14,0
521,33496,5,0
690,174489,28,1
305,152524,16,1
496,189666,21,1
750,87680,29,1
724,99964,20,1
788,133400,18,1
515,47210,29,1
678,67459,24,1
420,189149,26,1
506,89099,5,0
836,106949,3,0
331,28895,10,0
780,35713,10,0
388,141085,9,0
780,88643,7,0
766,93450,0,0
450,87792,0,0
782,166465,28,1
808,155811,14,1
378,59263,2,0
819,97037,29,1
823,197252,5,0
614,113128,3,0
469,52281,3,0
334,107333,13,1
509,107754,18,1
726,103168,17,1
370,31903,29,1
431,153823,2,0
391,111861,2,0
513,197128,19,1
407,163949,18,1
681,147072,4,0
407,89226,11,0
773,113189,21,1
799,67381,3,0
755,86728,17,0
393,70317,2,0
301,81986,19,1
323,64076,26,1
515,119504,8,0
644,126863,9,0
645,148307,14,1
625,188763,3,0
380,61489,12,0
651,159616,17,1
540,122112,10,0
798,103723,23,1
653,106726,17,1
754,68965,0,0
352,28118,17,0
370,27372,11,0
631,72689,8,0
545,157119,2,0
401,20744,16,0
803,109514,22,1
837,95614,4,0
735,178342,9,0
312,167264,10,1
485,172196,15,1
313,27616,27,1
662,122387,28,1
595,197635,17,1
556,25462,7,0
708,58878,13,0
516,82951,3,0
708,188726,28,1
394,120439,17,1
666,99153,3,0
794,194874,26,1
386,132758,13,1
815,99672,25,1
506,27042,19,0
765,35317,28,1
644,135724,18,1
388,50672,12,0
399,40482,23,1
542,75387,14,0
504,161945,10,1
640,54537,13,0
307,117315,13,1
386,31904,13,0
507,168797,19,1
332,117357,1,0
333,139295,3,0
633,121989,12,0
815,112562,8,0
723,115980,19,1
548,104635,10,0
746,114473,29,1
362,32912,6,0
583,125894,20,1
665,97690,23,1
530,137990,11,0
731,20102,21,0
636,171621,13,1
540,61022,7,0
414,195116,13,1
811,25698,28,1
501,118363,18,1
748,181664,29,1
801,125496,29,1
380,188298,26,1
809,49664,18,0
307,60068,15,0
707,97768,14,0
541,95154,1,0
596,102733,13,0
849,147452,19,1
752,94312,25,1
526,182704,18,1
550,29814,21,0
605,187786,7,1
842,62879,16,0
775,160887,13,1
627,149346,22,1
721,58448,27,1
550,107770,11,0
609,177835,12,1
325,145080,6,0
723,104367,17,1
558,177337,0,0
788,132517,9,0
509,104502,22,1
303,158035,5,0
326,58045,29,1
737,30380,23,0
411,35162,6,0
491,126364,22,1
555,125748,23,1
669,102862,1,0
778,67454,23,1
741,70286,23,1
365,160555,26,1
627,199142,19,1
724,166729,29,1
334,99963,25,1
513,114289,8,0
388,111622,7,0
516,136537,11,0
665,170411,27,1
816,116221,25,1
364,64493,23,1
720,136590,17,1
483,187571,22,1
768,102169,8,0
762,119335,0,0
322,21337,11,0
383,151728,4,0
617,186056,3,0
467,148975,13,1
330,62506,28,1
640,28489,8,0
704,60874,6,0
742,190408,10,1
758,195005,25,1
644,35007,9,0
503,162929,9,1
552,161220,22,1
626,66564,20,1
736,113245,4,0
825,71057,27,1
521,28661,7,0
309,119227,16,1
784,101177,18,1
484,71119,14,0
605,86742,14,0
576,138216,23,1
721,122369,14,0
767,111898,20,1
682,68495,3,0
593,97257,27,1
768,66987,16,0
389,91856,3,0
469,150031,10,1
803,180528,0,0
322,141072,21,1
785,103144,9,0
622,69569,26,1
794,198864,14,1
543,98222,1,0
529,21345,18,0
358,59598,1,0
420,90879,19,1
456,28982,12,0
527,130784,20,1
589,138476,2,0
758,91848,25,1
531,175384,10,1
756,115743,19,1
765,34300,28,1
517,197212,9,1
585,45982,17,0
467,105116,14,1
725,42008,27,1
589,25817,28,1
420,162419,13,1
552,157203,1,0
822,67403,22,1
686,94231,20,1
609,35940,29,1
625,31762,24,1
703,92401,10,0
684,84605,3,0
701,38918,17,0
771,42042,0,0
358,96754,13,0
696,199028,17,1
721,47951,7,0
418,105218,0,0
708,128017,14,1
480,134150,24,1
691,71852,20,1
323,56440,11,0
369,37518,9,0
563,118503,26,1
411,110569,27,1
497,85468,23,1
581,136007,26,1
845,191309,9,0
768,49790,1,0
461,71171,26,1
383,141916,9,0
757,71106,15,0
558,166407,8,0
828,181218,8,0
426,78535,17,1
387,162998,4,0
325,65795,17,1
422,169530,1,0
340,99940,26,1
616,107541,29,1
637,175055,21,1
806,100009,16,0
553,192614,20,1
797,103869,8,0
725,144933,23,1
722,21537,4,0
504,171126,29,1
498,93565,27,1
667,72869,11,0
580,198576,12,1
589,48570,15,0
762,36684,13,0
497,108142,25,1
309,56829,5,0
337,160603,16,1
658,131691,18,1
383,69941,11,0
678,148189,14,1
734,72281,2,0
821,182202,1,0
725,119381,28,1
326,85515,26,1
675,61412,9,0
362,190105,1,0
460,63686,26,1
585,81889,8,0
332,156836,19,1
750,150279,27,1
706,33715,25,1
475,78741,3,0
340,63485,22,1
539,140674,25,1
708,135544,24,1
674,82265,12,0
814,131148,20,1
495,131629,4,0
845,30736,21,0
592,163567,24,1
428,176672,12,1
350,181905,20,1
594,37843,23,1
568,92749,10,0
571,139446,24,1
326,113982,28,1
638,196735,18,1
546,68173,4,0
687,133340,1,0
371,145859,5,0
357,60979,12,0
668,99458,21,1
772,96035,26,1
810,56540,17,0
360,117736,24,1
822,116321,8,0
556,54447,24,1
370,139657,12,1
325,42792,26,1
391,124756,16,1
603,170422,26,1
625,194220,0,0
793,162339,21,1
323,176950,3,0
738,171193,25,1
580,117973,21,1
761,41032,20,0
825,192201,17,1
366,68823,17,1
804,126214,11,0
358,41684,18,0
741,76872,25,1
826,23556,3,0
656,33333,26,1
435,105446,21,1
373,37484,13,0
408,120999,11,0
816,168611,2,0
316,96280,19,1
444,172522,1,0
549,165435,9,1
751,80089,27,1
482,116497,23,1
558,166929,9,1
844,120696,19,1
626,85713,27,1
477,187086,4,0
517,56553,16,0
631,75276,1,0
494,147012,11,1
631,163880,13,1
768,66473,8,0
335,86019,11,0
735,198561,14,1
810,26822,29,1
843,170573,1,0
583,187769,15,1
310,96377,14,1
517,141152,14,1
635,48670,23,1
838,195418,11,1
510,116582,21,1
332,163975,2,0
337,141586,26,1
377,98353,4,0
539,50475,14,0
468,167473,9,1
533,128126,1,0
428,133849,24,1
466,74258,3,0
620,38289,17,0
815,125161,1,0
433,90412,16,1
574,69041,2,0
594,70980,1,0
408,127168,15,1
469,21407,16,0
829,51619,10,0
747,63513,25,1
690,151020,6,0
723,34453,5,0
684,92943,10,0
593,78868,6,0
848,138471,9,0
435,122638,6,0
811,132317,5,0
712,29733,28,1
564,66354,27,1
350,64562,8,0
708,148849,17,1
700,89129,23,1
385,184506,22,1
566,177828,3,0
460,139656,15,1
692,36498,6,0
487,169733,14,1
785,35713,20,0
754,38193,6,0
774,53532,29,1
406,25615,22,1
345,103431,10,0
768,95622,28,1
462,188550,7,1
560,135258,27,1
836,30402,16,0
505,138747,19,1
528,153613,2,0
781,52625,19,0
504,151865,7,0
828,115558,12,0
357,30378,19,0
817,185711,19,1
679,79476,19,1
308,64469,27,1
333,171503,15,1
610,106198,15,0
620,23875,23,0
716,132327,26,1
779,63880,19,0
790,183441,8,0
455,196556,13,1
387,76878,6,0
345,59268,6,0
773,21111,2,0
493,87747,10,0
618,78386,19,1
394,104558,4,0
718,161348,6,0
520,193424,5,0
526,180615,27,1
643,24621,21,0
625,189975,14,1
645,110731,18,1
449,60424,1,0
322,85851,24,1
835,176911,12,1
385,133853,28,1
376,89088,21,1
360,20030,29,1
485,152681,12,1
341,26235,14,0
758,199000,18,1
745,51723,20,0
646,67895,4,0
710,136060,9,0
474,150370,17,1
444,164148,15,1
511,54134,25,1
634,96384,4,0
821,137639,12,0
792,35800,6,0
619,186165,27,1
744,135284,29,1
463,55731,2,0
655,57721,19,0
436,107461,10,0
671,67192,19,0
660,94579,9,0
473,168138,4,0
489,186491,9,1
600,164726,11,1
826,133283,7,0
796,52085,5,0
441,82872,13,0
663,89841,2,0
552,137325,14,1
351,175081,0,0
457,77065,0,0
523,162873,28,1
394,94653,12,0
564,90970,29,1
750,54715,19,0
356,90486,10,0
635,154375,10,0
740,43706,23,1
402,193306,9,1
657,31913,19,0
516,195035,17,1
561,86409,27,1
526,68372,19,1
695,71383,22,1
542,183655,23,1
486,70772,28,1
748,58283,20,0
357,40678,13,0
656,199053,18,1
815,161479,26,1
689,83033,28,1
551,108987,16,1
350,199107,18,1
683,43692,1,0
470,187744,15,1
732,155831,0,0
571,74917,14,0
529,193751,9,1
533,77536,6,0
417,147779,19,1
483,62367,15,0
487,124458,3,0
807,71519,6,0
