Credit Score,Annual Income,Years of Employment,Life Expectancy
636,133776,12,0
719,100201,16,0
576,85982,8,0
311,50257,13,0
521,55842,9,0
676,60863,13,0
487,47877,12,0
547,84729,22,1
482,109037,2,0
334,28026,10,0
325,89463,22,1
482,35641,7,0
803,155203,14,0
801,134894,13,0
839,109132,26,1
330,116393,0,0
408,69298,12,0
365,197826,12,1
807,142650,7,0
421,34031,27,1
621,81114,26,1
491,99534,23,1
572,186812,1,0
793,133499,26,1
440,85901,15,1
653,143099,23,1
770,42164,9,0
764,132701,0,0
495,57405,6,0
440,40922,24,1
484,77221,9,0
390,36279,24,1
423,192502,4,1
529,186251,24,1
662,39229,6,0
756,193115,2,0
332,154855,28,1
403,37374,9,0
752,56683,19,0
738,49432,28,1
721,179450,10,0
579,55554,16,0
374,196348,24,1
751,171638,4,0
578,42800,19,0
410,133931,28,1
804,87384,22,1
344,31349,16,0
679,47518,19,0
686,25750,8,0
758,51379,25,1
316,157150,4,0
490,40389,25,1
416,138028,24,1
334,102722,16,1
300,148216,1,0
832,140318,20,1
374,138696,4,0
462,32226,20,0
613,190863,26,1
729,178018,3,0
504,136026,23,1
450,39309,1,0
770,92518,19,0
720,196910,10,1
657,186690,17,1
544,39738,22,1
841,187031,2,0
555,113185,15,1
718,20192,26,0
581,69649,29,1
813,135584,2,0
819,28328,9,0
373,159282,26,1
467,141866,10,1
655,23327,0,0
374,95403,12,0
577,151742,3,0
417,185070,29,1
383,81510,11,0
486,176877,20,1
623,167026,3,0
553,136192,0,0
703,192677,9,0
784,28640,18,0
706,27485,20,0
711,82901,20,0
754,39404,22,0
642,56320,26,1
